voltage,current,currentDev
0.0,-3.188475e-10,1.271697e-09
-5.0,1.19933e-10,3.748632e-10
-10.0,8.3538e-11,3.326786e-10
-15.0,1.522686e-11,3.816567e-10
-20.0,1.017886e-11,3.586998e-10
-25.0,2.30767e-11,3.662151e-10
-30.0,-1.288643e-10,3.738532e-10
-35.0,-1.803652e-09,3.975083e-10
-40.0,-2.567874e-09,3.75355e-10
-45.0,-3.076292e-09,3.599556e-10
-50.0,-3.733402e-09,4.052871e-10
-55.0,-4.311652e-09,3.457483e-10
-60.0,-4.919757e-09,3.366191e-10
-65.0,-5.72592e-09,6.750379e-10
-70.0,-5.938583e-09,8.47008e-10
-75.0,-6.85956e-09,3.625949e-10
-80.0,-8.998796e-09,5.705091e-10
-85.0,-3.572039e-08,9.0991e-09
-90.0,-2.39849e-08,8.317815e-09
-95.0,-1.95449e-08,2.075802e-09
-100.0,-2.203567e-08,1.983215e-09
-105.0,-1.968519e-08,1.735624e-09
-110.0,-1.973255e-08,6.105915e-10
-115.0,-2.008049e-08,7.677675e-10
-120.0,-1.985858e-08,9.294474e-10
-125.0,-2.112711e-08,4.826572e-10
-130.0,-2.151213e-08,9.627446e-10
-135.0,-2.12369e-08,3.306167e-10
-140.0,-2.152731e-08,3.697677e-10
-145.0,-2.094434e-08,3.189094e-10
-150.0,-2.273947e-08,2.453065e-09
-155.0,-2.159154e-08,4.029252e-10
-160.0,-2.180043e-08,3.372553e-10
-165.0,-2.199404e-08,3.220208e-10
-170.0,-2.139447e-08,4.935288e-10
-175.0,-2.160058e-08,5.783046e-10
-180.0,-2.190098e-08,4.267224e-10
-185.0,-2.719386e-08,1.173812e-08
-190.0,-2.250732e-08,3.522592e-10
-195.0,-2.110447e-08,4.223435e-10
-200.0,-2.285094e-08,2.902399e-10
-205.0,-2.53678e-08,1.121775e-09
-210.0,-2.288712e-08,7.588501e-10
-215.0,-2.356953e-08,7.55694e-10
-220.0,-2.380498e-08,4.171823e-10
-225.0,-2.30004e-08,4.437492e-10
-230.0,-2.440915e-08,5.707029e-10
-235.0,-2.429203e-08,3.794374e-10
-240.0,-2.412708e-08,6.578256e-10
-245.0,-2.460764e-08,3.047091e-10
-250.0,-2.429608e-08,4.347503e-10
-255.0,-2.462055e-08,5.677817e-10
-260.0,-2.443476e-08,4.851359e-10
-265.0,-2.486072e-08,3.989697e-10
-270.0,-2.517761e-08,4.082596e-10
-275.0,-2.541037e-08,2.723131e-10
-280.0,-2.516809e-08,5.361103e-10
-285.0,-2.540468e-08,2.745562e-10
-290.0,-2.578388e-08,3.141991e-10
-295.0,-2.577703e-08,3.564772e-10
-300.0,-2.597676e-08,1.238994e-09
-305.0,-2.620051e-08,5.115653e-10
-310.0,-2.53996e-08,1.027763e-09
-315.0,-2.667803e-08,4.10885e-10
-320.0,-2.637245e-08,1.028817e-09
-325.0,-2.698673e-08,4.016639e-10
-330.0,-2.689472e-08,3.232828e-10
-335.0,-2.665433e-08,3.225616e-10
-340.0,-2.758483e-08,6.75227e-10
-345.0,-2.748884e-08,3.209928e-10
-350.0,-2.748889e-08,5.053812e-10
-355.0,-2.806344e-08,2.659078e-10
-360.0,-2.782106e-08,2.575787e-10
-365.0,-2.798689e-08,5.27299e-10
-370.0,-2.844816e-08,3.545172e-10
-375.0,-2.862428e-08,2.940723e-10
-380.0,-2.885892e-08,4.506936e-10
-385.0,-2.879632e-08,4.049391e-10
-390.0,-2.918547e-08,4.522996e-10
-395.0,-2.956068e-08,5.647732e-10
-400.0,-2.959183e-08,4.756807e-10
-405.0,-3.017499e-08,8.964877e-10
-410.0,-3.016202e-08,4.334839e-10
-415.0,-3.033458e-08,3.464028e-10
-420.0,-3.043363e-08,4.613123e-10
-425.0,-2.999204e-08,1.09069e-09
-430.0,-3.150378e-08,5.201266e-10
-435.0,-3.164826e-08,7.768875e-10
-440.0,-3.151869e-08,5.651382e-10
-445.0,-3.209282e-08,3.311035e-10
-450.0,-3.209978e-08,2.871351e-10
-455.0,-3.296327e-08,5.44385e-10
-460.0,-3.294122e-08,5.537339e-10
-465.0,-3.316574e-08,4.542857e-10
-470.0,-3.361844e-08,3.440057e-10
-475.0,-3.383214e-08,4.570891e-10
-480.0,-3.439113e-08,4.76007e-10
-485.0,-3.456179e-08,4.139327e-10
-490.0,-3.488527e-08,2.76938e-10
-495.0,-3.516585e-08,3.245811e-10
-500.0,-3.545627e-08,2.520201e-10
-505.0,-3.562809e-08,4.779323e-10
-510.0,-3.626935e-08,4.811754e-10
-515.0,-3.64636e-08,4.6467e-10
-520.0,-3.749503e-08,7.391482e-10
-525.0,-3.65316e-08,2.962136e-09
-530.0,-3.868571e-08,6.249715e-10
-535.0,-3.853655e-08,1.09259e-09
-540.0,-3.819737e-08,1.070405e-09
-545.0,-3.853537e-08,7.190398e-10
-550.0,-3.891659e-08,1.777713e-09
-555.0,-3.898708e-08,5.574937e-10
