voltage,current,currentDev
0.0,-2.983538e-11,4.246888e-10
-5.0,-2.642332e-10,3.975978e-10
-10.0,-8.188557e-09,3.979583e-10
-15.0,-1.80094e-08,5.287672e-10
-20.0,-2.562986e-08,4.807926e-10
-25.0,-3.22359e-08,2.616204e-10
-30.0,-3.855303e-08,4.029853e-10
-35.0,-4.48785e-08,3.123121e-10
-40.0,-5.092892e-08,3.623744e-10
-45.0,-5.756689e-08,3.36189e-10
-50.0,-6.408392e-08,4.42146e-10
-55.0,-7.12033e-08,5.911968e-10
-60.0,-7.788699e-08,3.575118e-10
-65.0,-8.407469e-08,7.849382e-10
-70.0,-9.111712e-08,4.819355e-10
-75.0,-9.824642e-08,4.157791e-10
-80.0,-1.054731e-07,7.699009e-10
-85.0,-1.128335e-07,6.164229e-10
-90.0,-1.201367e-07,1.004395e-09
-95.0,-1.300258e-07,1.256177e-09
-100.0,-1.382505e-07,1.028815e-09
-105.0,-1.467134e-07,1.575687e-09
-110.0,-1.547396e-07,1.093725e-09
-115.0,-1.628692e-07,5.558605e-10
-120.0,-1.705712e-07,1.041714e-09
-125.0,-1.784018e-07,7.996066e-10
-130.0,-1.862279e-07,1.745816e-09
-135.0,-1.941311e-07,1.515364e-09
-140.0,-2.016531e-07,1.257518e-09
-145.0,-2.089294e-07,1.363306e-09
-150.0,-2.161015e-07,1.492304e-09
-155.0,-2.245227e-07,1.323506e-09
-160.0,-2.310436e-07,7.966626e-10
-165.0,-2.378159e-07,1.216255e-09
-170.0,-2.436202e-07,1.270758e-09
-175.0,-2.506557e-07,1.433678e-09
-180.0,-2.574377e-07,1.176816e-09
-185.0,-2.623664e-07,2.60379e-09
-190.0,-2.686372e-07,1.175414e-09
-195.0,-2.744953e-07,1.769564e-09
-200.0,-2.813714e-07,1.587767e-09
-205.0,-2.876234e-07,1.490145e-09
-210.0,-2.937335e-07,1.849803e-09
-215.0,-2.999317e-07,6.86676e-10
-220.0,-3.065137e-07,1.505864e-09
-225.0,-3.131522e-07,1.373589e-09
-230.0,-3.194554e-07,1.654019e-09
-235.0,-3.270696e-07,1.747735e-09
-240.0,-3.337872e-07,1.304664e-09
-245.0,-3.4089e-07,1.523992e-09
-250.0,-3.480516e-07,2.322828e-09
-255.0,-3.562346e-07,1.573543e-09
-260.0,-3.648141e-07,6.862357e-10
-265.0,-3.730806e-07,1.464236e-09
-270.0,-3.818846e-07,1.973184e-09
-275.0,-3.926012e-07,9.564557e-10
-280.0,-4.020209e-07,1.269212e-09
